Age_Display,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
44,4768,21000.0,2206.2992950486605,0.10489260883699819,21000.0,True,passes conservative screen,0.6,0.05051844103753991,0.0816775051373878,10
45,4653,20900.0,2069.32384212467,0.09893767748033747,20900.0,True,passes conservative screen,0.6,0.04919044924548294,0.07998086582769502,10
46,4515,19600.0,2080.4295334305893,0.10601555548334458,19600.0,True,passes conservative screen,0.6,0.04634417632533959,0.08031262361103042,10
47,4519,20300.0,2226.6419950417976,0.10982038053716145,20300.0,True,passes conservative screen,0.6,0.05190315052784497,0.08705592443333407,10
48,4351,19200.0,2013.369652176468,0.10487782681597774,19200.0,True,passes conservative screen,0.6,0.04608814826198499,0.08164347541457145,10
49,4139,18600.0,2009.81289550074,0.10832488679880713,18600.0,True,passes conservative screen,0.5,0.04281828063282556,0.07848269401366675,10
50,4213,19100.0,2052.5153083160717,0.10760806391673106,19100.0,True,passes conservative screen,0.6,0.045840139381145666,0.0817290413575501,10
51,4205,18500.0,2002.2986040384797,0.10817170749597887,18500.0,True,passes conservative screen,0.5,0.04429945644645336,0.08138704880072346,10
52,4367,20000.0,2235.8644307490295,0.11195708612709782,20000.0,True,passes conservative screen,0.6,0.04463888494812793,0.0760136382978804,10
53,4363,19600.0,2157.5656795418613,0.11028179091364045,19600.0,True,passes conservative screen,0.6,0.04935797831941626,0.08579642869670354,10
54,4130,19000.0,2153.7777289750256,0.11362401571895177,19000.0,True,passes conservative screen,0.6,0.0461031563554038,0.08271265745862279,10
55,4047,18100.0,2183.358349306243,0.12069901360070893,18100.0,True,passes conservative screen,0.5,0.04863138238506862,0.09142550696085351,10
56,4084,18500.0,2206.359335897045,0.11930236276406637,18500.0,True,passes conservative screen,0.5,0.04444870587982901,0.08173423156963586,10
57,4128,18900.0,2335.4788930938403,0.12345190385743983,18900.0,True,passes conservative screen,0.6,0.04659543685235439,0.08376012093323046,10
58,4039,18300.0,2311.997333650434,0.12605180772294125,18300.0,True,passes conservative screen,0.5,0.04519416706732223,0.08379463215557627,10
59,3883,18000.0,2355.483174920047,0.131199679681787,18000.0,True,passes conservative screen,0.5,0.0479959604467612,0.09091373866624702,10
60,3828,17600.0,2469.944547215577,0.14066780315489447,17600.0,True,passes conservative screen,0.5,0.0507528805151177,0.09829699936228166,10
61,3743,17300.0,2482.952780260356,0.14315135212787342,17300.0,True,passes conservative screen,0.5,0.050652140464313586,0.09931088665112858,10
62,3523,16300.0,2352.5935133045014,0.1443138120423611,16300.0,True,passes conservative screen,0.5,0.05110107529176335,0.10660144827574117,10
63,3351,16100.0,2515.3989311131413,0.1562418777893738,16100.0,True,passes conservative screen,0.5,0.053274654464677704,0.11253387718966527,10
64,3343,16100.0,2559.3525475270626,0.15928762417749293,16100.0,True,passes conservative screen,0.5,0.05203808077132231,0.11014004630009641,10
65,3441,16800.0,2802.56829531132,0.16639956414098012,16800.0,True,passes conservative screen,0.5,0.058516455299585025,0.11815335356438957,10
66,3268,16100.0,2811.9194939315053,0.17484866667595356,16100.0,True,passes conservative screen,0.5,0.05933704475536089,0.1254750616642492,10
67,3176,15700.0,2912.195902221253,0.1857586513033181,15700.0,True,passes conservative screen,0.5,0.0643365320857064,0.13955910415544057,10
68,3040,15300.0,3072.3811840474873,0.2011400971279482,15300.0,True,passes conservative screen,0.4,0.06713167890619229,0.14945936408793756,10
69,2844,14300.0,3014.3650968254624,0.21138924014986862,14300.0,True,passes conservative screen,0.4,0.06727829466530817,0.1604479093341489,10
70,2718,14200.0,3157.70753507453,0.22199955589891923,14200.0,True,passes conservative screen,0.4,0.0704125731656284,0.16834587543711826,10
71,2542,12700.0,2841.431921680439,0.22404533758086365,12700.0,True,passes conservative screen,0.4,0.06475577678034095,0.17363978340898298,10
72,2333,12200.0,2827.881765241178,0.23189760004126916,12200.0,True,passes conservative screen,0.4,0.06255297578156357,0.1744436013832774,10
73,2231,11800.0,3051.368418269653,0.2584574558539316,11800.0,True,passes conservative screen,0.3,0.07106901512494447,0.2047136386901336,10
74,2134,11200.0,2663.1148481763003,0.2385575321513,11200.0,True,passes conservative screen,0.3,0.06081743816149839,0.18526928364752696,10
75,1996,10700.0,2804.2503649279447,0.26180044057602647,10700.0,True,passes conservative screen,0.3,0.06527971353574721,0.2072544626470531,10
76,1807,9400.0,2445.7007151758216,0.260365364708019,9400.0,True,passes conservative screen,0.3,0.05711721051157153,0.2067849621579447,10
77,1676,9000.0,2415.881234735715,0.2697697191584085,9000.0,True,passes conservative screen,0.3,0.055772726318135804,0.21179297777493578,10
78,1506,7700.0,2065.9373713672053,0.2683724567372635,7700.0,True,passes conservative screen,0.2,0.04905847120305814,0.21672392776393146,10
79,1341,7100.0,1880.5671495532854,0.2634541045201189,7100.0,True,passes conservative screen,0.2,0.04451719123904656,0.21208792424694292,10
80,1225,6400.0,1618.9355206600121,0.2524454070459805,6400.0,True,passes conservative screen,0.2,0.037575991813376536,0.1992601426673244,10
81,1199,6400.0,1748.22908327564,0.27500112412832683,6400.0,True,passes conservative screen,0.2,0.040386193065334176,0.2160434520551483,10
82,1019,5300.0,1407.515433291072,0.2650155741573684,5300.0,True,passes conservative screen,0.2,0.03305735339290689,0.21166954415486147,10
83,863,4500.0,1239.2525176261213,0.27335804695922844,4500.0,True,passes conservative screen,0.1,0.029534511726859336,0.2215511002334136,10
84,764,3900.0,1016.8128043742242,0.2615559609138308,3900.0,True,passes conservative screen,0.1,0.023985848721122315,0.2098218773844243,10
85,707,3500.0,869.7728605476528,0.24688865541280422,3500.0,True,passes conservative screen,0.1,0.020729782381069806,0.20010691094282354,10
86,573,3000.0,792.7205824939127,0.26410766933795826,3000.0,True,passes conservative screen,0.1,0.01897098302108777,0.21494273774654116,10
87,531,2700.0,780.3196532491944,0.2859748262840852,2700.0,True,passes conservative screen,0.1,0.019469318079271693,0.2426487524122929,10
88,463,2400.0,700.3901598399442,0.2932138734761866,2400.0,True,passes conservative screen,0.1,0.0173921323851881,0.24761068098146324,10
89,370,1800.0,541.6855722800683,0.30272363538870645,1800.0,True,passes conservative screen,0.1,0.013381976910131332,0.25432637471058683,10
90,1288,6200.0,1395.078106947179,0.22460764950298376,6200.0,True,passes conservative screen,0.2,0.03083076101894439,0.1688038420823947,10
