Body_Region,Age_Band,percent,reportable,observed_years,reason
Shoulder/upper arm,0-4,,False,10,at least one annual percentage fails
Shoulder/upper arm,10-14,5.6,True,10,all annual percentages pass
Shoulder/upper arm,15-17,7.8,True,10,all annual percentages pass
Shoulder/upper arm,18-24,9.6,True,10,all annual percentages pass
Shoulder/upper arm,25-34,8.8,True,10,all annual percentages pass
Shoulder/upper arm,35-44,8.9,True,10,all annual percentages pass
Shoulder/upper arm,45-54,8.5,True,10,all annual percentages pass
Shoulder/upper arm,5-9,3.8,True,10,all annual percentages pass
Shoulder/upper arm,55-64,8.0,True,10,all annual percentages pass
Shoulder/upper arm,65-74,7.2,True,10,all annual percentages pass
Shoulder/upper arm,75+,6.0,True,10,all annual percentages pass
Trunk/spine,0-4,,False,10,at least one annual percentage fails
Trunk/spine,10-14,7.6,True,10,all annual percentages pass
Trunk/spine,15-17,9.6,True,10,all annual percentages pass
Trunk/spine,18-24,12.8,True,10,all annual percentages pass
Trunk/spine,25-34,18.9,True,10,all annual percentages pass
Trunk/spine,35-44,21.6,True,10,all annual percentages pass
Trunk/spine,45-54,25.2,True,10,all annual percentages pass
Trunk/spine,5-9,5.5,True,10,all annual percentages pass
Trunk/spine,55-64,28.2,True,10,all annual percentages pass
Trunk/spine,65-74,,False,10,at least one annual percentage fails
Trunk/spine,75+,,False,10,at least one annual percentage fails
Wrist/hand,0-4,8.5,True,10,all annual percentages pass
Wrist/hand,10-14,22.8,True,10,all annual percentages pass
Wrist/hand,15-17,15.8,True,10,all annual percentages pass
Wrist/hand,18-24,13.2,True,10,all annual percentages pass
Wrist/hand,25-34,12.3,True,10,all annual percentages pass
Wrist/hand,35-44,11.9,True,10,all annual percentages pass
Wrist/hand,45-54,11.7,True,10,all annual percentages pass
Wrist/hand,5-9,16.3,True,10,all annual percentages pass
Wrist/hand,55-64,12.7,True,10,all annual percentages pass
Wrist/hand,65-74,10.9,True,10,all annual percentages pass
Wrist/hand,75+,7.3,True,10,all annual percentages pass
