Diagnosis_Plot,Age_Band,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
Fracture,65-74,2732,13900.0,2846.789171199345,0.20491495906869636,13900.0,True,passes conservative screen,15.2,1.4301322002502903,0.09416186140072529,10
Fracture,75+,1980,10200.0,2275.757207842829,0.2236662795791481,10200.0,True,passes conservative screen,15.5,1.7260600264965829,0.11114833845316231,10
Contusion/abrasion,0-4,1748,4900.0,1035.463576825046,0.21100698568242196,4900.0,True,passes conservative screen,11.0,1.405636030195861,0.12735554713321942,10
Contusion/abrasion,5-9,7448,22000.0,4029.617932256629,0.18307627768683546,22000.0,True,passes conservative screen,11.9,0.797057776858197,0.06713227651178633,10
Contusion/abrasion,10-14,20283,65000.0,8703.851449912756,0.13386453770767076,65000.0,True,passes conservative screen,11.6,0.6408200602612207,0.055346156064241564,10
Contusion/abrasion,15-17,11589,41200.0,5144.096722458869,0.12492286834758902,41200.0,True,passes conservative screen,10.4,0.6379697506578236,0.061403554442436684,10
Contusion/abrasion,18-24,5715,25100.0,2628.480294824145,0.10482656137426959,25100.0,True,passes conservative screen,7.9,0.5263589747673176,0.0666094642953152,10
Contusion/abrasion,25-34,4182,19100.0,1920.5912737572276,0.10081038569065266,19100.0,True,passes conservative screen,7.7,0.5439695783075552,0.07027703269227109,10
Contusion/abrasion,35-44,2512,11900.0,1366.4868347644738,0.11519363461108616,11900.0,True,passes conservative screen,7.2,0.6038146763212257,0.08381617545843753,10
Contusion/abrasion,45-54,1723,8200.0,1024.9677099227542,0.12559752606922547,8200.0,True,passes conservative screen,6.9,0.6858197801084894,0.09888374992955605,10
Contusion/abrasion,55-64,1325,6500.0,1053.062594126225,0.1614714163217003,6500.0,True,passes conservative screen,6.5,0.8013534594842682,0.12339686910921814,10
Contusion/abrasion,65-74,1072,5600.0,1115.5069913416041,0.20076039883784597,5600.0,True,passes conservative screen,6.1,0.8107177360261191,0.1334614745629536,10
Contusion/abrasion,75+,931,5000.0,1304.7877335114765,0.26010761386109055,5000.0,True,passes conservative screen,7.7,1.140330459686057,0.14894173819592735,10
Laceration/open wound,0-4,2940,9300.0,2064.776354428667,0.22287903602632148,9300.0,True,passes conservative screen,20.8,1.646567416848901,0.07902394351173311,10
Laceration/open wound,5-9,8012,23800.0,4063.5181417073204,0.17105800759715337,23800.0,True,passes conservative screen,12.8,0.8086086070132359,0.06310342533622641,10
Laceration/open wound,10-14,8593,26800.0,3414.104868600979,0.1274965582308552,26800.0,True,passes conservative screen,4.8,0.26746426468996143,0.05608989951648087,10
Laceration/open wound,15-17,6647,23400.0,2868.6698539758186,0.12276900226719838,23400.0,True,passes conservative screen,5.9,0.3309423580889389,0.056133370093592615,10
Laceration/open wound,18-24,6007,26600.0,3393.1106082905617,0.12762637474168118,26600.0,True,passes conservative screen,8.4,0.5018028471394821,0.05989117471820607,10
Laceration/open wound,25-34,3762,16300.0,1914.4076402075357,0.1174421788989164,16300.0,True,passes conservative screen,6.6,0.47169210446692983,0.0712224266622575,10
Laceration/open wound,35-44,2171,10200.0,1361.1152055429643,0.13396061937822343,10200.0,True,passes conservative screen,6.2,0.5777041631875391,0.09362436910297248,10
Laceration/open wound,45-54,1478,7200.0,1105.0737353210175,0.15443044438829726,7200.0,True,passes conservative screen,6.1,0.6318363335643479,0.10389395523178781,10
Laceration/open wound,55-64,1221,6200.0,1052.7174875030225,0.1690534345733307,6200.0,True,passes conservative screen,6.2,0.7384915046317077,0.11909573833917789,10
Laceration/open wound,65-74,1053,5700.0,1097.4409787257723,0.19156925397102964,5700.0,True,passes conservative screen,6.3,0.9157764681127809,0.14622263514656803,10
Laceration/open wound,75+,893,4600.0,1005.9174823203987,0.21839059400968172,4600.0,True,passes conservative screen,7.0,1.0792533666104132,0.15352088969798836,10
Internal injury,0-4,1726,4300.0,916.1005804353924,0.2119078729233432,4300.0,True,passes conservative screen,9.7,1.4458450818279396,0.1486992145486728,10
Internal injury,5-9,6016,16200.0,3049.8773775286686,0.1885857259961987,16200.0,True,passes conservative screen,8.7,0.7171212731281666,0.08220389829462678,10
Internal injury,10-14,12371,36100.0,5281.662978258333,0.14614237766031732,36100.0,True,passes conservative screen,6.4,0.4810090880828302,0.07474051014658414,10
Internal injury,15-17,7184,24500.0,3657.946267494442,0.1494842133481818,24500.0,True,passes conservative screen,6.2,0.49434164249207313,0.08006557146838982,10
Internal injury,18-24,3407,14800.0,1977.0832670755142,0.1336489662512098,14800.0,True,passes conservative screen,4.7,0.3744011349112588,0.08030916199253682,10
Internal injury,25-34,1808,7700.0,1095.2815007232844,0.1427478954274992,7700.0,True,passes conservative screen,3.1,0.30731921127803974,0.09858302724020697,10
Internal injury,35-44,1078,4800.0,708.3604103472073,0.14617733356197632,4800.0,True,passes conservative screen,2.9,0.3339865266258307,0.11348954314158266,10
Internal injury,45-54,935,4000.0,750.9147594871118,0.1864818266904779,4000.0,True,passes conservative screen,3.4,0.48467960714576935,0.14162653859477636,10
Internal injury,55-64,985,4500.0,793.0975684400826,0.1771802402450077,4500.0,True,passes conservative screen,4.5,0.552996705842139,0.12406513957346035,10
Internal injury,65-74,1210,6100.0,1431.6759405163325,0.2366087756254147,6100.0,True,passes conservative screen,6.6,0.8151242389139177,0.12322261491479655,10
Internal injury,75+,1295,6300.0,1785.022362399805,0.2827797023234226,6300.0,True,passes conservative screen,9.6,1.1082101889320881,0.11502684381887732,10
All other diagnoses,0-4,7468,21400.0,6154.090477427078,0.28807188006864287,21400.0,True,passes conservative screen,48.0,3.1459435573717123,0.06547430470222305,10
All other diagnoses,5-9,23450,67100.0,13632.272079908109,0.20325633435008542,67100.0,True,passes conservative screen,36.2,1.8070154649199293,0.04994719239694629,10
All other diagnoses,10-14,62622,180400.0,24552.236586933883,0.13607707930416724,180400.0,True,passes conservative screen,32.1,1.4783730728758226,0.04601243905241568,10
All other diagnoses,15-17,43427,135900.0,16058.295291954128,0.1181830357257695,135900.0,True,passes conservative screen,34.3,1.504395681353319,0.04388118858397225,10
All other diagnoses,18-24,30897,124700.0,13485.686095421543,0.10816777501058572,124700.0,True,passes conservative screen,39.3,1.5691933128300477,0.03993820969606491,10
All other diagnoses,25-34,24983,104600.0,10690.49881763054,0.10221538309521927,104600.0,True,passes conservative screen,42.5,1.6461312159615131,0.03873925104589138,10
All other diagnoses,35-44,16906,74700.0,7702.917590255458,0.10317918322686273,74700.0,True,passes conservative screen,45.3,1.8171964581191378,0.040081121180784565,10
All other diagnoses,45-54,12958,59100.0,6949.843863200309,0.11765356646606749,59100.0,True,passes conservative screen,50.2,2.1029828501115277,0.0418899459092997,10
All other diagnoses,55-64,11079,51900.0,7702.299326622726,0.1485281629327576,51900.0,True,passes conservative screen,51.6,2.207009418936775,0.04273966958287791,10
All other diagnoses,65-74,9380,47900.0,11213.326140113015,0.2342638249567009,47900.0,True,passes conservative screen,52.3,2.5687277972685827,0.04908732353820389,10
All other diagnoses,75+,6361,33000.0,9188.646504257822,0.27843545010845294,33000.0,True,passes conservative screen,50.4,2.8788981692034743,0.05715730992226289,10
