Activity,Cluster_Region,Source_Year,n,estimate,cv_approx,annual_pass
Snow sports,Other/systemic,2017,4,,0.7147338336325986,False
Hockey,Head/neck,2017,562,16400.0,0.2341933547384873,True
Hockey,Upper limb,2017,442,14300.0,0.32201994877780554,True
Hockey,Trunk/spine,2017,134,4200.0,0.24597592009395913,True
Hockey,Lower limb,2017,268,9000.0,0.26336073296764356,True
Hockey,Other/systemic,2017,5,,0.5854770039819569,False
Fishing,Head/neck,2017,170,9200.0,0.15432125713051104,True
Fishing,Upper limb,2017,704,40100.0,0.13971966368177993,True
Fishing,Trunk/spine,2017,104,5400.0,0.15482779359695634,True
Fishing,Lower limb,2017,248,14000.0,0.20998868649451144,True
Fishing,Other/systemic,2017,25,1700.0,0.31268282592837054,True
Basketball,Head/neck,2018,2904,88900.0,0.0939104754121273,True
Basketball,Upper limb,2018,3967,124000.0,0.1000508657380322,True
Basketball,Trunk/spine,2018,908,29800.0,0.11946953333618764,True
Basketball,Lower limb,2018,5615,186600.0,0.09347057829621515,True
Basketball,Other/systemic,2018,109,3800.0,0.16333854887545948,True
Exercise/fitness,Head/neck,2018,1220,47900.0,0.13057095973617444,True
Exercise/fitness,Upper limb,2018,1390,57500.0,0.09995373649632015,True
Exercise/fitness,Trunk/spine,2018,2690,119500.0,0.1581883385608061,True
Exercise/fitness,Lower limb,2018,3320,141400.0,0.0994582739403313,True
Exercise/fitness,Other/systemic,2018,582,27500.0,0.20692747500115688,True
Football,Head/neck,2018,2249,69600.0,0.12007157988805141,True
Football,Upper limb,2018,3525,114400.0,0.10677343010602894,True
Football,Trunk/spine,2018,768,25400.0,0.11428656166034584,True
Football,Lower limb,2018,2523,82300.0,0.11301921953060808,True
Football,Other/systemic,2018,89,4000.0,0.25133890863643765,True
Soccer,Head/neck,2018,1444,42300.0,0.13373335884609505,True
Soccer,Upper limb,2018,1856,51600.0,0.17062855073469554,True
Soccer,Trunk/spine,2018,569,17100.0,0.12621677439920806,True
Soccer,Lower limb,2018,2818,84600.0,0.1436386711881528,True
Soccer,Other/systemic,2018,67,2800.0,0.26266808416979315,True
Swimming/diving,Head/neck,2018,2822,105700.0,0.20563885574002275,True
Swimming/diving,Upper limb,2018,423,18100.0,0.15776921671995478,True
Swimming/diving,Trunk/spine,2018,484,19500.0,0.16792153393720147,True
Swimming/diving,Lower limb,2018,801,32700.0,0.16372629497629584,True
Swimming/diving,Other/systemic,2018,525,17300.0,0.27843773004619876,True
Baseball/softball,Head/neck,2018,1808,61800.0,0.11248219986353132,True
Baseball/softball,Upper limb,2018,1295,49800.0,0.10548719686762145,True
Baseball/softball,Trunk/spine,2018,319,12000.0,0.14570485130901942,True
Baseball/softball,Lower limb,2018,1115,42300.0,0.10876748110761077,True
Baseball/softball,Other/systemic,2018,47,2000.0,0.32241268531568096,True
Weight training,Head/neck,2018,300,11700.0,0.10683786404118359,True
Weight training,Upper limb,2018,795,31700.0,0.08670068405870436,True
Weight training,Trunk/spine,2018,886,37100.0,0.11020661343838821,True
Weight training,Lower limb,2018,460,17200.0,0.1257461896211087,True
Weight training,Other/systemic,2018,52,2900.0,0.31184267203014787,True
Other sport/recreation,Head/neck,2018,666,17800.0,0.16369262034001686,True
Other sport/recreation,Upper limb,2018,923,29200.0,0.16749785858698626,True
Other sport/recreation,Trunk/spine,2018,303,9400.0,0.16849167368124743,True
Other sport/recreation,Lower limb,2018,1222,37000.0,0.19044242475955367,True
Other sport/recreation,Other/systemic,2018,72,2800.0,0.2898977061083596,True
Combat sports,Head/neck,2018,561,18100.0,0.1244069608566801,True
