Diagnosis_Plot,Age_Band,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
Laceration/open wound,10-14,14941,47200.0,5406.948535231158,0.11448384734788954,47200.0,True,passes conservative screen,6.3,0.2758544982307601,0.04360849080035898,10
Laceration/open wound,15-17,8403,29300.0,3375.1459540810038,0.11504248449180454,29300.0,True,passes conservative screen,6.5,0.33104759311570564,0.05130863852512472,10
Laceration/open wound,18-24,8567,37200.0,4485.762424833221,0.12051242607331603,37200.0,True,passes conservative screen,9.1,0.4790651338915751,0.052760513930142604,10
Laceration/open wound,25-34,6735,28600.0,3077.0589119765405,0.1076140584587334,28600.0,True,passes conservative screen,8.0,0.4296413312176406,0.05385202296762147,10
Laceration/open wound,35-44,4154,18600.0,2061.7694798856264,0.11114323286238101,18600.0,True,passes conservative screen,7.3,0.5092962776726916,0.0693999269518845,10
Laceration/open wound,45-54,3041,14000.0,1769.0251073789127,0.1262974525665548,14000.0,True,passes conservative screen,7.2,0.5636989461596514,0.07833209021411432,10
Laceration/open wound,55-64,2654,12900.0,1787.410132833315,0.13811893153736096,12900.0,True,passes conservative screen,7.4,0.6370509929479753,0.08623030120434613,10
Laceration/open wound,65-74,1940,10300.0,1849.192988605017,0.17981976636981103,10300.0,True,passes conservative screen,7.3,0.8134891272839333,0.11091127152305509,10
Laceration/open wound,75+,1416,7400.0,1608.421088312274,0.2183619290322492,7400.0,True,passes conservative screen,8.2,1.045766701366204,0.12783540999784654,10
Internal injury,0-4,7612,19000.0,3326.1325103166623,0.1746193377940452,19000.0,True,passes conservative screen,12.4,0.9513066899753907,0.07655439538396655,10
Internal injury,5-9,13972,37300.0,6343.20471554914,0.1702503051839299,37300.0,True,passes conservative screen,8.8,0.547324022718861,0.062424591938613536,10
Internal injury,10-14,17084,50100.0,7046.799059970852,0.1407302789031026,50100.0,True,passes conservative screen,6.7,0.4575663428757616,0.06822581604377127,10
Internal injury,15-17,8709,29800.0,4335.645053916591,0.14551354988192047,29800.0,True,passes conservative screen,6.6,0.5015144944567238,0.07653631814952194,10
Internal injury,18-24,5483,23400.0,2912.6843779367678,0.12444331012607891,23400.0,True,passes conservative screen,5.7,0.40023774918925786,0.07009952382964763,10
Internal injury,25-34,4237,17400.0,2284.9398543061966,0.13149057205599252,17400.0,True,passes conservative screen,4.8,0.39291403202169567,0.08103640207249733,10
Internal injury,35-44,2942,12500.0,1630.2728633977185,0.13006524033597291,12500.0,True,passes conservative screen,5.0,0.426392201541732,0.08599155333056646,10
Internal injury,45-54,2843,11900.0,1816.0260803986907,0.15221754674998428,11900.0,True,passes conservative screen,6.1,0.6404474825836779,0.10448598912345171,10
Internal injury,55-64,3191,13700.0,2266.897043005423,0.164943255731925,13700.0,True,passes conservative screen,7.8,0.7758370089280753,0.09888489820615909,10
Internal injury,65-74,2699,12900.0,2889.29105668864,0.2235889605249524,12900.0,True,passes conservative screen,9.2,0.9587412324322447,0.10402296046488554,10
Internal injury,75+,2120,10400.0,2930.408713589914,0.280853845864346,10400.0,True,passes conservative screen,11.6,1.0966383958694892,0.09463566135280668,10
All other diagnoses,0-4,16755,45500.0,9456.858993015858,0.20782622196380443,45500.0,True,passes conservative screen,29.7,1.52116535763411,0.05124206768805519,10
All other diagnoses,5-9,40225,110000.0,18152.34588654077,0.164967566100939,110000.0,True,passes conservative screen,25.9,1.2732816606171407,0.04917250384819732,10
All other diagnoses,10-14,76136,217500.0,28691.45625665544,0.1319440686514144,217500.0,True,passes conservative screen,29.1,1.4093038424662176,0.04838836220909995,10
All other diagnoses,15-17,48340,151300.0,17479.78935513521,0.11549398338898133,151300.0,True,passes conservative screen,33.3,1.4658215813995468,0.044039120704994515,10
All other diagnoses,18-24,37175,150200.0,16041.190583523803,0.10676830172271712,150200.0,True,passes conservative screen,36.7,1.4066264867225098,0.038379862926366054,10
All other diagnoses,25-34,32515,135700.0,13617.964138831323,0.10036075239722765,135700.0,True,passes conservative screen,37.9,1.4278287575741537,0.03771295967345418,10
All other diagnoses,35-44,22740,99900.0,9838.306144401455,0.09848309700886805,99900.0,True,passes conservative screen,39.5,1.5372423373083064,0.038898181142166754,10
All other diagnoses,45-54,17748,80200.0,8565.220725408923,0.10677932508391128,80200.0,True,passes conservative screen,41.2,1.704726146159637,0.04136520042278299,10
All other diagnoses,55-64,15557,71500.0,9478.125899151277,0.132480848713265,71500.0,True,passes conservative screen,40.8,1.8695329168009776,0.045774167695920506,10
All other diagnoses,65-74,11871,60000.0,13076.48032972623,0.21795922394513628,60000.0,True,passes conservative screen,42.8,2.3571834416088335,0.05508666876276543,10
All other diagnoses,75+,7520,39100.0,10462.75415104566,0.26775048006323865,39100.0,True,passes conservative screen,43.4,2.5725633154189604,0.059277449024551856,10
