Activity,Profile_Age,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
Soccer,30-34,1995,7700.0,1244.478370798892,0.1615258713110858,7700.0,True,passes conservative screen,3.9,0.5014384824295982,0.12836002913268493,10
Soccer,35-39,1353,5200.0,946.6301886416301,0.18157658756278247,5200.0,True,passes conservative screen,2.6,0.3721091567294534,0.14076907727840385,10
Soccer,40-44,1000,3900.0,738.7159116445786,0.18809588927607657,3900.0,True,passes conservative screen,2.0,0.32065833483320333,0.16102814528877105,10
Soccer,45-49,612,2400.0,546.3821147222894,0.22534508569064055,2400.0,True,passes conservative screen,1.2,0.22762309922251525,0.1851506990201216,10
Soccer,50-54,373,1500.0,408.3722241211277,0.28104453805342605,1500.0,True,passes conservative screen,0.7,0.1767460215903533,0.23989765792478582,10
Soccer,55-59,174,,220.72197259397177,0.33270039517009287,,False,"estimate < 1200; CV bound outside [0, 0.33]",,0.10075109966566623,0.2995124985216503,10
Soccer,60-64,125,,185.0980950870021,0.367144281306983,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.08775302475363211,0.3432845997715651,10
Soccer,65-69,74,,125.59199019056662,0.40595167700271745,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.06121775118659627,0.3902538320544479,10
Soccer,70-74,42,,82.70679306656915,0.4989785539291131,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.04303813224408593,0.512096162444036,10
Soccer,75-79,36,,93.02382802585012,0.5567080531481114,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.04737774608292693,0.5591973435140111,10
Soccer,80+,20,,76.0064225097742,0.6853445987531407,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.03953999400355339,0.7031576549316637,10
Swimming/diving,0-4,6432,,7329.969805504663,0.37027263611842615,,False,"CV bound outside [0, 0.33]",,2.120277064777393,0.19125700853744612,10
Swimming/diving,5-9,12055,39200.0,11601.316896401593,0.2961341567474926,39200.0,True,passes conservative screen,21.9,2.4777875674638414,0.1129407306535485,10
Swimming/diving,10-14,10110,33800.0,7744.600134557336,0.22880171943355695,33800.0,True,passes conservative screen,19.0,1.2333295486946998,0.06506459515018051,10
Swimming/diving,15-19,4449,17300.0,2925.753305578543,0.16877123124063695,17300.0,True,passes conservative screen,9.7,0.8082529561553262,0.08325557541913571,10
Swimming/diving,20-24,2078,10100.0,1556.4166937587017,0.1548248247478877,10100.0,True,passes conservative screen,5.6,0.9641347498692084,0.1712607193009783,10
Swimming/diving,25-29,1605,7800.0,1178.6088291382273,0.15079381803383488,7800.0,True,passes conservative screen,4.4,0.6621549095847282,0.15127904060168887,10
Swimming/diving,30-34,1488,7300.0,1251.595071871347,0.17152912493182196,7300.0,True,passes conservative screen,4.1,0.6826289770259955,0.16705676150093474,10
Swimming/diving,35-39,1342,6900.0,1115.4393931516574,0.16195883567808345,6900.0,True,passes conservative screen,3.9,0.6420322074860008,0.16646417914872466,10
Swimming/diving,40-44,1138,5800.0,980.2022153736677,0.17039762396881405,5800.0,True,passes conservative screen,3.2,0.5326761970541195,0.1653546666712409,10
Swimming/diving,45-49,973,4700.0,848.4043110824492,0.17933095235483187,4700.0,True,passes conservative screen,2.6,0.44408515459674847,0.16761927358630443,10
Swimming/diving,50-54,940,4900.0,981.1925609103095,0.20229376455860668,4900.0,True,passes conservative screen,2.7,0.4599660170158277,0.16933990305841115,10
Swimming/diving,55-59,894,4600.0,936.9390444164746,0.2031145469977611,4600.0,True,passes conservative screen,2.6,0.46240665685954435,0.17900249299467788,10
Swimming/diving,60-64,819,4200.0,1002.7532110432094,0.2390156473653565,4200.0,True,passes conservative screen,2.3,0.41830224692148066,0.17804417930992647,10
Swimming/diving,65-69,749,3900.0,991.5966400518446,0.25709373435241095,3900.0,True,passes conservative screen,2.2,0.35954363221897234,0.1664613292283076,10
Swimming/diving,70-74,589,3200.0,1016.5030733379339,0.32234916469212166,3200.0,True,passes conservative screen,1.8,0.44988563974436996,0.2547565123128086,10
Swimming/diving,75-79,434,,781.0711731913816,0.33833817678477013,,False,"CV bound outside [0, 0.33]",,0.30240921684594596,0.2339164310820997,10
Swimming/diving,80+,526,,1127.7891464482723,0.3890236766849306,,False,"CV bound outside [0, 0.33]",,0.47140992149774535,0.29037027287658734,10
Baseball/softball,0-4,893,2800.0,530.4008605118886,0.1904177042913664,2800.0,True,passes conservative screen,1.9,0.30568737049303113,0.16338873967760484,10
Baseball/softball,5-9,5329,15800.0,2266.831288201978,0.1437414387827976,15800.0,True,passes conservative screen,10.6,0.9088132328400534,0.08579835334540559,10
Baseball/softball,10-14,14475,46300.0,6202.915316781313,0.13384831495745836,46300.0,True,passes conservative screen,31.1,1.8391867476627262,0.05908597503307806,10
Baseball/softball,15-19,10281,36300.0,4293.004501975478,0.11817011532566138,36300.0,True,passes conservative screen,24.4,1.1201048288217827,0.0459035746460593,10
Baseball/softball,20-24,1881,8900.0,1207.974358275525,0.13530474010954752,8900.0,True,passes conservative screen,6.0,0.6977561436946186,0.11635913568092089,10
Baseball/softball,25-29,1502,6900.0,940.4305629518774,0.13571164587094142,6900.0,True,passes conservative screen,4.7,0.5925817574568406,0.12731517815372018,10
Baseball/softball,30-34,1514,7400.0,1009.1943559942536,0.13580283732310564,7400.0,True,passes conservative screen,5.0,0.6100410374663686,0.12221783982470145,10
Baseball/softball,35-39,1304,6400.0,916.7185401929646,0.14406321399815106,6400.0,True,passes conservative screen,4.3,0.5449072004420445,0.1274914771759309,10
Baseball/softball,40-44,991,4800.0,739.1681174291664,0.154110760016852,4800.0,True,passes conservative screen,3.2,0.42512691272922715,0.1319622940164492,10
Baseball/softball,45-49,773,3600.0,584.5270691909972,0.16028034352297302,3600.0,True,passes conservative screen,2.4,0.3685452206070901,0.1504554561906247,10
Baseball/softball,50-54,577,2800.0,509.4942514697609,0.18412963908964228,2800.0,True,passes conservative screen,1.9,0.32270869884951897,0.17363473460122256,10
Baseball/softball,55-59,392,1800.0,460.4678453186313,0.24910511209373049,1800.0,True,passes conservative screen,1.2,0.2771810198337398,0.2232483930788483,10
Baseball/softball,60-64,305,1400.0,442.68873283663197,0.3079986308264521,1400.0,True,passes conservative screen,1.0,0.2740346214282358,0.28385547405564016,10
Baseball/softball,65-69,273,1500.0,483.7421554517251,0.32530422992113583,1500.0,True,passes conservative screen,1.0,0.291007355713672,0.2913541868329048,10
Baseball/softball,70-74,198,,372.33262872867175,0.3700481696576256,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.23459368505503847,0.34712428874903584,10
Baseball/softball,75-79,116,,260.79699391085,0.4032626020062422,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.16452763361656259,0.378761423315831,10
Baseball/softball,80+,70,,165.94347842669563,0.4532232387562028,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.10770892398432524,0.4379708333242921,10
Weight training,0-4,998,2500.0,514.7933174871891,0.20432331175491164,2500.0,True,passes conservative screen,2.5,0.43989560411610257,0.1785596689928131,10
