Activity,Profile_Age,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
Football,80+,11,,45.17324359484287,0.9190817247474207,,False,"n < 20; estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.016596899044391152,0.9385958403671224,10
Soccer,0-4,756,1500.0,400.8964486449361,0.261706143884529,1500.0,True,passes conservative screen,0.8,0.1502969370458534,0.19208652092686376,10
Soccer,5-9,8227,20500.0,4200.3307309465645,0.20535103044166633,20500.0,True,passes conservative screen,10.4,1.0407126968766667,0.09961145942424904,10
Soccer,10-14,26895,68800.0,11550.379764936622,0.16795149142811502,68800.0,True,passes conservative screen,35.1,1.6680473233234197,0.04748550052516192,10
Soccer,15-19,19128,56200.0,7588.2428455602085,0.13501356736991826,56200.0,True,passes conservative screen,28.7,1.0527226511080723,0.03667036310411594,10
Soccer,20-24,4322,16700.0,2355.312857508165,0.1411856980003253,16700.0,True,passes conservative screen,8.5,0.9517752220037269,0.11169701010553738,10
Soccer,25-29,2662,9700.0,1480.8979850273288,0.15223595853466065,9700.0,True,passes conservative screen,5.0,0.6391631134585812,0.12863787544686767,10
Soccer,30-34,1974,7600.0,1242.9024628145478,0.1631751645836402,7600.0,True,passes conservative screen,3.9,0.5038771469136688,0.12951101998633896,10
Soccer,35-39,1347,5200.0,945.1875314445758,0.18215613144944043,5200.0,True,passes conservative screen,2.7,0.37350764246231444,0.14092574980726547,10
Soccer,40-44,993,3900.0,735.7027792202235,0.18865432682621452,3900.0,True,passes conservative screen,2.0,0.3210079732396287,0.16115554178848793,10
Soccer,45-49,602,2400.0,535.0926180203447,0.22559879409787667,2400.0,True,passes conservative screen,1.2,0.2235909669159721,0.1845555541119113,10
Soccer,50-54,368,1400.0,404.50639067380854,0.28177127715080824,1400.0,True,passes conservative screen,0.7,0.17701292486326367,0.24140227724896035,10
Soccer,55-59,172,,219.01281208616462,0.33498371032218466,,False,"estimate < 1200; CV bound outside [0, 0.33]",,0.09970714264371898,0.29856953313358015,10
Soccer,60-64,124,,184.66648053873107,0.367413665571251,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.08821848856294293,0.343630652861481,10
