Activity,Profile_Age,n,denominator_n,percent,reportable,reason
Volleyball,65-69,54,14726,0.4,True,sample descriptive percentage; n >=20
Volleyball,70-74,36,14726,0.2,True,sample descriptive percentage; n >=20
Volleyball,75-79,27,14726,0.2,True,sample descriptive percentage; n >=20
Volleyball,80+,30,14726,0.2,True,sample descriptive percentage; n >=20
Snow sports,0-4,59,12717,0.5,True,sample descriptive percentage; n >=20
Snow sports,5-9,583,12717,4.6,True,sample descriptive percentage; n >=20
Snow sports,10-14,2431,12717,19.1,True,sample descriptive percentage; n >=20
Snow sports,15-19,2357,12717,18.5,True,sample descriptive percentage; n >=20
Snow sports,20-24,1983,12717,15.6,True,sample descriptive percentage; n >=20
Snow sports,25-29,1325,12717,10.4,True,sample descriptive percentage; n >=20
Snow sports,30-34,744,12717,5.9,True,sample descriptive percentage; n >=20
Snow sports,35-39,562,12717,4.4,True,sample descriptive percentage; n >=20
Snow sports,40-44,554,12717,4.4,True,sample descriptive percentage; n >=20
Snow sports,45-49,504,12717,4.0,True,sample descriptive percentage; n >=20
Snow sports,50-54,386,12717,3.0,True,sample descriptive percentage; n >=20
Snow sports,55-59,367,12717,2.9,True,sample descriptive percentage; n >=20
Snow sports,60-64,329,12717,2.6,True,sample descriptive percentage; n >=20
Snow sports,65-69,251,12717,2.0,True,sample descriptive percentage; n >=20
Snow sports,70-74,171,12717,1.3,True,sample descriptive percentage; n >=20
Snow sports,75-79,69,12717,0.5,True,sample descriptive percentage; n >=20
Snow sports,80+,42,12717,0.3,True,sample descriptive percentage; n >=20
Hockey,0-4,67,12258,0.5,True,sample descriptive percentage; n >=20
Hockey,5-9,863,12258,7.0,True,sample descriptive percentage; n >=20
Hockey,10-14,4033,12258,32.9,True,sample descriptive percentage; n >=20
Hockey,15-19,4013,12258,32.7,True,sample descriptive percentage; n >=20
Hockey,20-24,915,12258,7.5,True,sample descriptive percentage; n >=20
Hockey,25-29,526,12258,4.3,True,sample descriptive percentage; n >=20
Hockey,30-34,506,12258,4.1,True,sample descriptive percentage; n >=20
Hockey,35-39,334,12258,2.7,True,sample descriptive percentage; n >=20
Hockey,40-44,266,12258,2.2,True,sample descriptive percentage; n >=20
Hockey,45-49,195,12258,1.6,True,sample descriptive percentage; n >=20
Hockey,50-54,177,12258,1.4,True,sample descriptive percentage; n >=20
Hockey,55-59,146,12258,1.2,True,sample descriptive percentage; n >=20
Hockey,60-64,120,12258,1.0,True,sample descriptive percentage; n >=20
Hockey,65-69,49,12258,0.4,True,sample descriptive percentage; n >=20
Hockey,70-74,25,12258,0.2,True,sample descriptive percentage; n >=20
Hockey,75-79,14,12258,,False,sample n <20 or no denominator
Hockey,80+,9,12258,,False,sample n <20 or no denominator
Fishing,0-4,426,11583,3.7,True,sample descriptive percentage; n >=20
Fishing,5-9,997,11583,8.6,True,sample descriptive percentage; n >=20
Fishing,10-14,1488,11583,12.8,True,sample descriptive percentage; n >=20
Fishing,15-19,976,11583,8.4,True,sample descriptive percentage; n >=20
Fishing,20-24,677,11583,5.8,True,sample descriptive percentage; n >=20
Fishing,25-29,657,11583,5.7,True,sample descriptive percentage; n >=20
Fishing,30-34,676,11583,5.8,True,sample descriptive percentage; n >=20
Fishing,35-39,716,11583,6.2,True,sample descriptive percentage; n >=20
Fishing,40-44,645,11583,5.6,True,sample descriptive percentage; n >=20
Fishing,45-49,715,11583,6.2,True,sample descriptive percentage; n >=20
Fishing,50-54,734,11583,6.3,True,sample descriptive percentage; n >=20
Fishing,55-59,781,11583,6.7,True,sample descriptive percentage; n >=20
Fishing,60-64,655,11583,5.7,True,sample descriptive percentage; n >=20
Fishing,65-69,568,11583,4.9,True,sample descriptive percentage; n >=20
Fishing,70-74,432,11583,3.7,True,sample descriptive percentage; n >=20
Fishing,75-79,236,11583,2.0,True,sample descriptive percentage; n >=20
Fishing,80+,204,11583,1.8,True,sample descriptive percentage; n >=20
