Body_Region,Age_Band,n,denominator_n,percent,reportable,reason
Multiple/systemic,55-64,1050,21763,4.8,True,sample descriptive percentage; n >=20
Multiple/systemic,65-74,1399,18375,7.6,True,sample descriptive percentage; n >=20
Multiple/systemic,75+,1284,13130,9.8,True,sample descriptive percentage; n >=20
Internal/systemic,0-4,339,16949,2.0,True,sample descriptive percentage; n >=20
Internal/systemic,5-9,147,68554,0.2,True,sample descriptive percentage; n >=20
Internal/systemic,10-14,74,196193,0.0,True,sample descriptive percentage; n >=20
Internal/systemic,15-17,27,123230,0.0,True,sample descriptive percentage; n >=20
Internal/systemic,18-24,12,77635,,False,sample n <20 or no denominator
Internal/systemic,25-34,12,59562,,False,sample n <20 or no denominator
Internal/systemic,35-44,6,37793,,False,sample n <20 or no denominator
Internal/systemic,45-54,5,26453,,False,sample n <20 or no denominator
Internal/systemic,55-64,8,21763,,False,sample n <20 or no denominator
Internal/systemic,65-74,3,18375,,False,sample n <20 or no denominator
Internal/systemic,75+,4,13130,,False,sample n <20 or no denominator
Not stated/other,0-4,96,16949,0.6,True,sample descriptive percentage; n >=20
Not stated/other,5-9,266,68554,0.4,True,sample descriptive percentage; n >=20
Not stated/other,10-14,585,196193,0.3,True,sample descriptive percentage; n >=20
Not stated/other,15-17,443,123230,0.4,True,sample descriptive percentage; n >=20
Not stated/other,18-24,365,77635,0.5,True,sample descriptive percentage; n >=20
Not stated/other,25-34,287,59562,0.5,True,sample descriptive percentage; n >=20
Not stated/other,35-44,239,37793,0.6,True,sample descriptive percentage; n >=20
Not stated/other,45-54,199,26453,0.8,True,sample descriptive percentage; n >=20
Not stated/other,55-64,259,21763,1.2,True,sample descriptive percentage; n >=20
Not stated/other,65-74,348,18375,1.9,True,sample descriptive percentage; n >=20
Not stated/other,75+,340,13130,2.6,True,sample descriptive percentage; n >=20
