Activity,Cluster_Age,Source_Year,n,estimate,cv_approx,annual_pass
Other ball sports,18-44,2020,152,6100.0,0.12789366975285538,True
Other ball sports,45+,2020,208,,0.4383008265481964,False
Gymnastics/cheerleading,0-17,2020,1052,24500.0,0.16099427179659875,True
Gymnastics/cheerleading,18-44,2020,87,3400.0,0.15151043200701628,True
Gymnastics/cheerleading,45+,2020,5,,0.5255461322352213,False
Volleyball,0-17,2020,505,14100.0,0.11517422376978088,True
Volleyball,18-44,2020,172,7800.0,0.1686791874615253,True
Volleyball,45+,2020,31,1400.0,0.2634871954157657,True
Snow sports,0-17,2020,403,,0.37028937751682506,False
Snow sports,18-44,2020,462,21500.0,0.21656547078681251,True
Snow sports,45+,2020,163,,0.36055314323674076,False
Hockey,0-17,2020,477,10600.0,0.23833384577541386,True
Hockey,18-44,2020,154,6600.0,0.27071864226051434,True
Hockey,45+,2020,40,,0.33505670878695093,False
Fishing,0-17,2020,418,18800.0,0.20888411868748857,True
Fishing,18-44,2020,395,22100.0,0.1968303164041995,True
Fishing,45+,2020,433,23800.0,0.1828077543971202,True
Basketball,0-17,2021,5547,146600.0,0.12692289531157241,True
Basketball,18-44,2021,2953,103500.0,0.09121072439799972,True
Basketball,45+,2021,225,7900.0,0.12600523604688438,True
Exercise/fitness,0-17,2021,1580,40600.0,0.133577636688555,True
Exercise/fitness,18-44,2021,3446,134100.0,0.10334731354085216,True
Exercise/fitness,45+,2021,3322,144100.0,0.13930791460193753,True
Football,0-17,2021,6813,181400.0,0.13585170396509605,True
Football,18-44,2021,1047,36600.0,0.09434325487698267,True
Football,45+,2021,66,2900.0,0.18686081877798164,True
Soccer,0-17,2021,4102,96700.0,0.17176995824944544,True
Soccer,18-44,2021,1352,43500.0,0.10514033998546182,True
Soccer,45+,2021,130,4100.0,0.19355617700216415,True
Swimming/diving,0-17,2021,3034,,0.34417215977417087,False
Swimming/diving,18-44,2021,814,36600.0,0.1498022748535471,True
Swimming/diving,45+,2021,542,25800.0,0.23141512417932364,True
Baseball/softball,0-17,2021,2663,72300.0,0.15292563036818468,True
Baseball/softball,18-44,2021,766,33100.0,0.11164157245575539,True
Baseball/softball,45+,2021,240,10200.0,0.1637035130377304,True
Weight training,0-17,2021,616,17200.0,0.17185894229587437,True
Weight training,18-44,2021,1306,50900.0,0.10017047894347889,True
Weight training,45+,2021,421,17500.0,0.11964546454038952,True
Other sport/recreation,0-17,2021,1442,37000.0,0.237066642007212,True
Other sport/recreation,18-44,2021,449,17200.0,0.1266065331869868,True
Other sport/recreation,45+,2021,60,3100.0,0.17291706116111633,True
Combat sports,0-17,2021,1036,29500.0,0.1881787282530984,True
Combat sports,18-44,2021,757,30400.0,0.09403001016068935,True
Combat sports,45+,2021,88,3500.0,0.15842346549781536,True
Other ball sports,0-17,2021,1207,28700.0,0.15473345670180882,True
Other ball sports,18-44,2021,263,11000.0,0.11065231339326169,True
Other ball sports,45+,2021,350,,0.4316121903654962,False
Gymnastics/cheerleading,0-17,2021,1483,37100.0,0.1815038998492634,True
Gymnastics/cheerleading,18-44,2021,113,5000.0,0.1930986639288271,True
Gymnastics/cheerleading,45+,2021,6,,0.40019940114390395,False
Volleyball,0-17,2021,878,25600.0,0.1670577348090322,True
Volleyball,18-44,2021,267,11100.0,0.16090339038910148,True
Volleyball,45+,2021,43,1600.0,0.2478071349036691,True
Snow sports,0-17,2021,452,,0.3492458547799461,False
Snow sports,18-44,2021,685,32700.0,0.2622530069178906,True
Snow sports,45+,2021,198,,0.36600879154300964,False
Hockey,0-17,2021,799,18100.0,0.2277084085265482,True
Hockey,18-44,2021,310,12200.0,0.22440170765353354,True
Hockey,45+,2021,58,2500.0,0.21794772140325747,True
Fishing,0-17,2021,325,14500.0,0.22427769999633484,True
Fishing,18-44,2021,372,19200.0,0.1547302148646402,True
Fishing,45+,2021,437,22500.0,0.16047667912371452,True
Basketball,0-17,2022,6371,184200.0,0.13448005444115235,True
Basketball,18-44,2022,3011,118600.0,0.09504197410614172,True
Basketball,45+,2022,235,9700.0,0.1160109809410132,True
Exercise/fitness,0-17,2022,1596,48900.0,0.152927912849749,True
Exercise/fitness,18-44,2022,3120,136100.0,0.11436580670191293,True
Exercise/fitness,45+,2022,3344,163700.0,0.15799080859583794,True
Football,0-17,2022,7537,223700.0,0.14743536883900563,True
Football,18-44,2022,934,38200.0,0.09061503779741513,True
Football,45+,2022,61,2900.0,0.17609570917028047,True
Soccer,0-17,2022,4718,121100.0,0.17799223241231263,True
Soccer,18-44,2022,1409,51200.0,0.13253422672066512,True
Soccer,45+,2022,142,6000.0,0.2164359324201922,True
Swimming/diving,0-17,2022,3267,,0.35612983471130066,False
Swimming/diving,18-44,2022,820,40100.0,0.1649852480289262,True
Swimming/diving,45+,2022,582,32600.0,0.19856134927514082,True
Baseball/softball,0-17,2022,2717,89200.0,0.15134206401774333,True
Baseball/softball,18-44,2022,740,36400.0,0.11361161137544183,True
Baseball/softball,45+,2022,208,10400.0,0.14539068737662791,True
Weight training,0-17,2022,707,22400.0,0.17434178479200177,True
Weight training,18-44,2022,1227,53000.0,0.11068995634132851,True
Weight training,45+,2022,380,17500.0,0.13470727018643286,True
Other sport/recreation,0-17,2022,1910,55400.0,0.20231487943884685,True
Other sport/recreation,18-44,2022,457,19100.0,0.11974789509395957,True
Other sport/recreation,45+,2022,65,3200.0,0.18075082484342267,True
Combat sports,0-17,2022,1402,44700.0,0.1550009658686516,True
Combat sports,18-44,2022,756,31800.0,0.11331162672530923,True
Combat sports,45+,2022,106,4800.0,0.15796622842224786,True
Other ball sports,0-17,2022,1308,35800.0,0.16007633506891933,True
Other ball sports,18-44,2022,263,11200.0,0.13155320903253037,True
Other ball sports,45+,2022,344,,0.35741566058905877,False
Gymnastics/cheerleading,0-17,2022,1528,47600.0,0.21447985225796695,True
Gymnastics/cheerleading,18-44,2022,129,4900.0,0.17589651606749468,True
Gymnastics/cheerleading,45+,2022,3,,0.5940223883412868,False
Volleyball,0-17,2022,1118,34800.0,0.1590848282449283,True
Volleyball,18-44,2022,296,12200.0,0.17227090995069058,True
Volleyball,45+,2022,63,3100.0,0.2041814698797469,True
Snow sports,0-17,2022,485,,0.3581593490213075,False
Snow sports,18-44,2022,685,35700.0,0.26573077252252614,True
Snow sports,45+,2022,221,,0.36551216838401795,False
Hockey,0-17,2022,761,20100.0,0.27238023313316473,True
Hockey,18-44,2022,318,14000.0,0.2245774623324677,True
Hockey,45+,2022,83,3600.0,0.30325903195530984,True
Fishing,0-17,2022,284,14800.0,0.22338253065626398,True
Fishing,18-44,2022,307,18600.0,0.1801423878700398,True
Fishing,45+,2022,388,23700.0,0.15390373262802517,True
Basketball,0-17,2023,6767,198200.0,0.11749425163982746,True
Basketball,18-44,2023,3359,120900.0,0.09067281829678747,True
Basketball,45+,2023,308,12000.0,0.117070637340733,True
Exercise/fitness,0-17,2023,1591,53900.0,0.20590446916827743,True
Exercise/fitness,18-44,2023,3526,144200.0,0.10664491373850214,True
Exercise/fitness,45+,2023,3780,172100.0,0.1429371567080626,True
Football,0-17,2023,7286,218700.0,0.12196304276900398,True
Football,18-44,2023,994,40100.0,0.09531035902065578,True
Football,45+,2023,80,3400.0,0.1623912373098306,True
Soccer,0-17,2023,5788,147400.0,0.16170624850015847,True
Soccer,18-44,2023,1602,57600.0,0.12318601001916038,True
Soccer,45+,2023,176,6600.0,0.20547614065486183,True
Swimming/diving,0-17,2023,2785,,0.3412242275306525,False
Swimming/diving,18-44,2023,855,38400.0,0.13262976891894332,True
Swimming/diving,45+,2023,604,28400.0,0.25124321383477266,True
Baseball/softball,0-17,2023,2711,88500.0,0.14057677663265905,True
Baseball/softball,18-44,2023,834,38000.0,0.10753179969947954,True
Baseball/softball,45+,2023,251,12500.0,0.18150067010806906,True
Weight training,0-17,2023,751,24700.0,0.14835845872149067,True
Weight training,18-44,2023,1510,61600.0,0.09574162731468518,True
Weight training,45+,2023,510,21100.0,0.10578394050397005,True
Other sport/recreation,0-17,2023,1684,48300.0,0.13389262731562895,True
Other sport/recreation,18-44,2023,471,18100.0,0.11947325006683449,True
Other sport/recreation,45+,2023,76,3800.0,0.19759841188534488,True
Combat sports,0-17,2023,1620,53500.0,0.14872109942008951,True
Combat sports,18-44,2023,947,39100.0,0.10201925475011867,True
Combat sports,45+,2023,120,5100.0,0.17107998000642885,True
Other ball sports,0-17,2023,1223,32800.0,0.11536616867332067,True
Other ball sports,18-44,2023,290,12500.0,0.11948843803043117,True
Other ball sports,45+,2023,505,26800.0,0.2638083375542965,True
Gymnastics/cheerleading,0-17,2023,1626,51100.0,0.18225820405186074,True
Gymnastics/cheerleading,18-44,2023,120,5300.0,0.15541748454252152,True
Gymnastics/cheerleading,45+,2023,6,,0.5455989562852175,False
Volleyball,0-17,2023,1155,37100.0,0.12648763321372195,True
Volleyball,18-44,2023,348,13800.0,0.15149333025285763,True
Volleyball,45+,2023,73,3500.0,0.18352985600893248,True
Snow sports,0-17,2023,471,,0.3653442906470185,False
Snow sports,18-44,2023,706,37100.0,0.30943910473308106,True
Snow sports,45+,2023,303,,0.4397774766667131,False
Hockey,0-17,2023,841,22000.0,0.23544820851094467,True
Hockey,18-44,2023,347,15100.0,0.2256857105612385,True
Hockey,45+,2023,78,3500.0,0.22630767144478672,True
Fishing,0-17,2023,313,14100.0,0.16628800042433264,True
Fishing,18-44,2023,353,18700.0,0.14288446062057356,True
Fishing,45+,2023,398,21300.0,0.12394338834505784,True
Basketball,0-17,2024,6852,221000.0,0.0865095704646562,True
Basketball,18-44,2024,3205,148600.0,0.09924569873347332,True
Basketball,45+,2024,303,14300.0,0.10938922333816942,True
Exercise/fitness,0-17,2024,1682,55600.0,0.11844907860094536,True
Exercise/fitness,18-44,2024,3577,167400.0,0.1025725758205391,True
Exercise/fitness,45+,2024,4296,210800.0,0.13209386189393435,True
Football,0-17,2024,8573,264600.0,0.08734459421433319,True
Football,18-44,2024,972,46700.0,0.13330312093998328,True
Football,45+,2024,91,5000.0,0.2710994377015401,True
Soccer,0-17,2024,6410,179800.0,0.12331383034239118,True
Soccer,18-44,2024,1703,75700.0,0.11839708853941082,True
Soccer,45+,2024,188,9000.0,0.14744311659007403,True
Swimming/diving,0-17,2024,3200,101700.0,0.19243513074456156,True
Swimming/diving,18-44,2024,898,44800.0,0.11891718961042501,True
Swimming/diving,45+,2024,634,32800.0,0.14909572816984856,True
Baseball/softball,0-17,2024,2960,99300.0,0.09842133568972683,True
Baseball/softball,18-44,2024,762,40000.0,0.10334318844525373,True
Baseball/softball,45+,2024,272,14100.0,0.13364722041673457,True
Weight training,0-17,2024,791,26900.0,0.11085101994253381,True
Weight training,18-44,2024,1522,71300.0,0.10148437764162359,True
Weight training,45+,2024,568,27700.0,0.11631782526853358,True
Other sport/recreation,0-17,2024,1748,53100.0,0.09598073184604607,True
Other sport/recreation,18-44,2024,515,26700.0,0.14296176693005713,True
Other sport/recreation,45+,2024,78,4600.0,0.15317086200953314,True
Combat sports,0-17,2024,1921,62000.0,0.10118845456298513,True
Combat sports,18-44,2024,985,46900.0,0.10756956192880734,True
Combat sports,45+,2024,132,6700.0,0.14012691495638244,True
Other ball sports,0-17,2024,1489,45000.0,0.09789988778681583,True
Other ball sports,18-44,2024,373,17800.0,0.10287134545885679,True
Other ball sports,45+,2024,582,30300.0,0.2038340591170124,True
Gymnastics/cheerleading,0-17,2024,1887,58700.0,0.11772231437343626,True
Gymnastics/cheerleading,18-44,2024,137,6800.0,0.15797168546736604,True
Gymnastics/cheerleading,45+,2024,12,,0.4175471164184116,False
Volleyball,0-17,2024,1273,40300.0,0.09618992179820052,True
Volleyball,18-44,2024,411,20200.0,0.11213717335857583,True
Volleyball,45+,2024,78,4200.0,0.2048242048167008,True
Snow sports,0-17,2024,483,,0.3513230983395499,False
Snow sports,18-44,2024,695,41700.0,0.26215122989664025,True
Snow sports,45+,2024,268,,0.456633946349335,False
Hockey,0-17,2024,897,26200.0,0.22071691816395503,True
Hockey,18-44,2024,346,16500.0,0.214759108006202,True
Hockey,45+,2024,81,4000.0,0.27194682077662075,True
Fishing,0-17,2024,468,25300.0,0.12168413526822017,True
Fishing,18-44,2024,388,23600.0,0.11847074348703229,True
Fishing,45+,2024,387,25000.0,0.11690497114680659,True
Basketball,0-17,2025,7094,214600.0,0.08737016816031833,True
Basketball,18-44,2025,3040,134000.0,0.10480532376217984,True
Basketball,45+,2025,304,14200.0,0.1254602527060566,True
Exercise/fitness,0-17,2025,2010,62000.0,0.15385285284218342,True
Exercise/fitness,18-44,2025,3979,177700.0,0.11097337884282711,True
Exercise/fitness,45+,2025,4787,214900.0,0.13865862422711536,True
Football,0-17,2025,8674,258000.0,0.09129609010711537,True
Football,18-44,2025,1061,48300.0,0.13042384247365257,True
Football,45+,2025,94,4700.0,0.15424634636669837,True
Soccer,0-17,2025,7041,184300.0,0.14444097827715405,True
Soccer,18-44,2025,1683,70400.0,0.1257564500224118,True
Soccer,45+,2025,182,8400.0,0.16074346787173238,True
Swimming/diving,0-17,2025,3204,98100.0,0.23339882763252018,True
Swimming/diving,18-44,2025,937,47100.0,0.13412408627683767,True
Swimming/diving,45+,2025,749,38700.0,0.18508723656257228,True
Baseball/softball,0-17,2025,3172,94800.0,0.09348451144440222,True
Baseball/softball,18-44,2025,880,45400.0,0.10426635477845987,True
Baseball/softball,45+,2025,310,15700.0,0.14459407103577676,True
Weight training,0-17,2025,897,26600.0,0.1233726829374104,True
Weight training,18-44,2025,1564,71300.0,0.10840176737526214,True
Weight training,45+,2025,670,31000.0,0.12507975100837895,True
Other sport/recreation,0-17,2025,1822,49100.0,0.10823984130795898,True
Other sport/recreation,18-44,2025,598,28400.0,0.11994187207120058,True
Other sport/recreation,45+,2025,65,3700.0,0.16844983604082162,True
Combat sports,0-17,2025,2067,62400.0,0.10500932500984156,True
Combat sports,18-44,2025,991,47100.0,0.11502238488209676,True
Combat sports,45+,2025,114,5700.0,0.1565903686897002,True
Other ball sports,0-17,2025,1638,44800.0,0.0983233526770381,True
Other ball sports,18-44,2025,358,17200.0,0.11865722271966408,True
Other ball sports,45+,2025,605,30800.0,0.1999029535298909,True
Gymnastics/cheerleading,0-17,2025,2048,57300.0,0.13284374715825248,True
Gymnastics/cheerleading,18-44,2025,161,7600.0,0.1401363666307648,True
Gymnastics/cheerleading,45+,2025,15,,0.31715210389206655,False
Volleyball,0-17,2025,1495,44700.0,0.10658239337519958,True
Volleyball,18-44,2025,407,20100.0,0.15049650609865528,True
Volleyball,45+,2025,80,4300.0,0.1716283959829628,True
Snow sports,0-17,2025,546,26600.0,0.3065453430586991,True
