Diagnosis_Plot,Age_Band,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
Laceration/open wound,35-44,2303,10900.0,1416.6878383480894,0.13036003718217173,10900.0,True,passes conservative screen,6.5,0.5785031856916804,0.08963703388363392,10
Laceration/open wound,45-54,1568,7600.0,1146.6276887948877,0.151606631960008,7600.0,True,passes conservative screen,6.3,0.6359510227621115,0.10144730632299155,10
Laceration/open wound,55-64,1292,6600.0,1090.465512432967,0.16532922175583276,6600.0,True,passes conservative screen,6.4,0.7402642760859311,0.11584896602595135,10
Laceration/open wound,65-74,1124,6100.0,1140.4830348743706,0.18761257001834392,6100.0,True,passes conservative screen,6.4,0.9307091264735124,0.14431837307484102,10
Laceration/open wound,75+,947,4900.0,1044.4668683432378,0.2131908348643478,4900.0,True,passes conservative screen,7.2,1.0973926414711237,0.15228555133953692,10
Internal injury,0-4,1913,4700.0,962.1467494548906,0.20470092860430883,4700.0,True,passes conservative screen,10.0,1.4527315923944606,0.14494420336163782,10
Internal injury,5-9,6269,16700.0,3115.1497451431524,0.18629248493896328,16700.0,True,passes conservative screen,8.8,0.7306653225051739,0.08317700778787845,10
Internal injury,10-14,12726,37200.0,5384.529236992976,0.14483934924474548,37200.0,True,passes conservative screen,6.5,0.4806075373429877,0.07376489114893366,10
Internal injury,15-17,7298,24900.0,3714.1219434514014,0.14921838496719442,24900.0,True,passes conservative screen,6.2,0.4970706871812892,0.07995059087610129,10
Internal injury,18-24,3473,15100.0,1990.5561859870081,0.13212767584832258,15100.0,True,passes conservative screen,4.7,0.3678327014160986,0.07851172512470266,10
Internal injury,25-34,1872,7900.0,1118.7907332456466,0.14111851741413983,7900.0,True,passes conservative screen,3.2,0.3069411205802527,0.09696035544297261,10
Internal injury,35-44,1112,5000.0,745.3110706805708,0.147813798600186,5000.0,True,passes conservative screen,3.0,0.3397987224147701,0.1134777091132917,10
Internal injury,45-54,976,4200.0,780.8202723869902,0.18627409557942567,4200.0,True,passes conservative screen,3.5,0.49308490401781385,0.14192018373363857,10
Internal injury,55-64,1018,4600.0,811.9647197172819,0.17508192863471736,4600.0,True,passes conservative screen,4.5,0.5413968358025145,0.12050014230401136,10
Internal injury,65-74,1273,6300.0,1462.0157079713988,0.23180017424548965,6300.0,True,passes conservative screen,6.7,0.804364091149311,0.12021230986134855,10
Internal injury,75+,1372,6700.0,1832.3116267528753,0.27545641969487816,6700.0,True,passes conservative screen,9.8,1.098952048649753,0.11231948360548727,10
All other diagnoses,0-4,7811,22300.0,6304.395585980232,0.28306980606478754,22300.0,True,passes conservative screen,47.5,3.115924152662054,0.06561059002204803,10
All other diagnoses,5-9,24057,68500.0,13743.541290403853,0.2006148161023676,68500.0,True,passes conservative screen,36.0,1.7833432254000896,0.0495527404844388,10
All other diagnoses,10-14,63578,183200.0,24849.914353740496,0.13562413938503443,183200.0,True,passes conservative screen,32.1,1.4755822423867324,0.04595109047100247,10
All other diagnoses,15-17,43891,137300.0,16180.327214056433,0.11783583931252238,137300.0,True,passes conservative screen,34.3,1.4990338222353028,0.043705780401430146,10
All other diagnoses,18-24,31258,126200.0,13656.10114298891,0.10820001753615588,126200.0,True,passes conservative screen,39.2,1.5612692197609075,0.03977802648002648,10
All other diagnoses,25-34,25372,106300.0,10864.074741290027,0.10220223764327588,106300.0,True,passes conservative screen,42.4,1.6404893462365677,0.03864960448598528,10
All other diagnoses,35-44,17250,76300.0,7852.946816534609,0.10296439957760485,76300.0,True,passes conservative screen,45.3,1.8067283570784294,0.039889510632282896,10
All other diagnoses,45-54,13237,60500.0,7079.092247878085,0.11704573944274033,60500.0,True,passes conservative screen,50.1,2.0603694876531455,0.04110022720834702,10
All other diagnoses,55-64,11349,53100.0,7873.474644701708,0.14816044944522722,53100.0,True,passes conservative screen,51.5,2.18061709806383,0.042355806002829226,10
All other diagnoses,65-74,9629,49100.0,11388.157769880889,0.2318506212916065,49100.0,True,passes conservative screen,52.1,2.547692578169606,0.04889183744816318,10
All other diagnoses,75+,6548,33900.0,9265.918572952314,0.27372338722774153,33900.0,True,passes conservative screen,49.8,2.8138630986054496,0.05651310696391558,10
