Age_Display,Source_Year,n,estimate,cv_approx,annual_pass
17,2017,3056,102700.0,0.08969942673100391,True
18,2017,1619,61900.0,0.0788721598432835,True
19,2017,1155,45800.0,0.09143197996955855,True
20,2017,1097,43400.0,0.10867607414329429,True
21,2017,1000,40300.0,0.09172448368811996,True
22,2017,821,31500.0,0.09794240566199885,True
23,2017,766,28100.0,0.08621333704985439,True
24,2017,740,28100.0,0.09064175650516262,True
25,2017,674,26000.0,0.09176765872650672,True
26,2017,583,23100.0,0.0926177377794318,True
27,2017,655,25600.0,0.09729938753063264,True
28,2017,576,22100.0,0.0961848326908255,True
29,2017,526,19400.0,0.09999958643940601,True
30,2017,515,21000.0,0.10466986312864643,True
31,2017,488,19400.0,0.0963217662294096,True
32,2017,453,17600.0,0.09266595040235724,True
33,2017,418,16600.0,0.10457606200703463,True
34,2017,375,14300.0,0.09770588424134723,True
35,2017,403,17300.0,0.08994961048143342,True
36,2017,381,16100.0,0.09924735465899569,True
37,2017,325,13700.0,0.11494473942610528,True
38,2017,308,13000.0,0.10244958566826509,True
39,2017,273,11600.0,0.11803541666060827,True
40,2017,265,11800.0,0.11940870381489258,True
41,2017,235,9800.0,0.09767940140149335,True
42,2017,201,8500.0,0.1253201875928062,True
43,2017,212,9200.0,0.11285660677374539,True
44,2017,201,8700.0,0.12301072133963763,True
45,2017,203,9300.0,0.145089954740953,True
46,2017,232,9400.0,0.09223331531199189,True
47,2017,218,10000.0,0.11173441345585752,True
48,2017,211,9200.0,0.12087585259904204,True
49,2017,179,8000.0,0.12789404681753525,True
50,2017,178,8200.0,0.16033235554118927,True
51,2017,200,9000.0,0.1222695714302238,True
52,2017,190,8500.0,0.1238957352552588,True
53,2017,193,8400.0,0.12311095788166727,True
54,2017,152,7300.0,0.1416698022835913,True
55,2017,161,7100.0,0.14219899805306682,True
56,2017,126,5500.0,0.1186086451977377,True
57,2017,153,7100.0,0.14693767078798417,True
58,2017,137,6300.0,0.15163386141482058,True
59,2017,132,6300.0,0.1654510821025952,True
60,2017,129,6200.0,0.15411516890139287,True
61,2017,123,5700.0,0.15608919608220245,True
62,2017,117,5700.0,0.1760005183557694,True
63,2017,116,5500.0,0.23524606702042597,True
64,2017,109,6200.0,0.1740022783447282,True
65,2017,116,5500.0,0.18975373735572837,True
66,2017,110,5500.0,0.21081019291677944,True
67,2017,118,5300.0,0.25657087105328313,True
68,2017,112,5700.0,0.23122673064141389,True
69,2017,101,5200.0,0.23797449691732028,True
70,2017,106,5400.0,0.24390913330900887,True
71,2017,82,4500.0,0.30949982471436727,True
72,2017,65,,0.3736893490227901,False
73,2017,81,4600.0,0.2639217936123834,True
74,2017,86,4400.0,0.2772854890374512,True
75,2017,71,4100.0,0.27550613507026933,True
76,2017,64,3400.0,0.23662956161419915,True
77,2017,52,,0.385642588493029,False
78,2017,65,3200.0,0.3160747737491278,True
79,2017,45,,0.3385696261809683,False
80,2017,48,2500.0,0.27611607835589996,True
81,2017,46,,0.3339176922900247,False
82,2017,35,,0.3845055154415244,False
83,2017,27,1300.0,0.30160915915470343,True
84,2017,30,1700.0,0.3229250660946245,True
85,2017,22,,0.31414146693045386,False
86,2017,18,,0.3544824335395556,False
87,2017,17,,0.46208986385089523,False
88,2017,28,,0.3366094107306148,False
89,2017,15,,0.40169402441264607,False
90,2017,68,3400.0,0.23183423623858557,True
0,2018,30,,0.4157897649372379,False
1,2018,170,4700.0,0.19989834936035952,True
2,2018,272,7700.0,0.24461746185697467,True
3,2018,296,7900.0,0.19494491139642314,True
4,2018,323,8400.0,0.21636607968504037,True
5,2018,470,11500.0,0.1932424325554321,True
6,2018,664,17700.0,0.19519914777981284,True
7,2018,867,23300.0,0.1810233191040584,True
8,2018,1167,33000.0,0.15872302935053226,True
9,2018,1553,44900.0,0.1482855064483178,True
10,2018,2160,60300.0,0.15191835903245776,True
11,2018,2498,68600.0,0.12811349792968088,True
12,2018,2945,82000.0,0.13679732240702927,True
13,2018,3372,94400.0,0.11603380898356483,True
14,2018,3492,105900.0,0.11773157031529868,True
15,2018,3349,110700.0,0.12562279720804334,True
16,2018,3074,96900.0,0.1255923997055893,True
17,2018,2720,94400.0,0.11433295365367847,True
18,2018,1515,59100.0,0.09808711708988725,True
19,2018,977,38500.0,0.10503169493430088,True
20,2018,893,35000.0,0.09940443542519967,True
21,2018,780,30500.0,0.10924944345252571,True
22,2018,713,29500.0,0.10592415300095018,True
23,2018,668,26400.0,0.09205137950440756,True
24,2018,605,26700.0,0.09380821210180232,True
25,2018,564,23300.0,0.10333301513026372,True
26,2018,557,23700.0,0.08943773643476681,True
27,2018,515,20200.0,0.09740584858570453,True
28,2018,501,20500.0,0.10704453461271805,True
29,2018,473,19300.0,0.09697790782058159,True
30,2018,430,18100.0,0.09595887889507349,True
31,2018,376,15300.0,0.11192569598863224,True
32,2018,412,17600.0,0.09890294636417227,True
33,2018,359,14600.0,0.10168846466398138,True
34,2018,340,14700.0,0.1018435748354254,True
35,2018,335,14800.0,0.09817294042794066,True
36,2018,322,14100.0,0.11395428679418496,True
37,2018,285,12300.0,0.1069433306496903,True
38,2018,282,11900.0,0.09397855918875603,True
39,2018,257,11600.0,0.11852191425008213,True
40,2018,273,12000.0,0.10725851356758406,True
41,2018,236,10500.0,0.11717250995920293,True
42,2018,214,9500.0,0.10954981661101904,True
43,2018,215,9700.0,0.10732501259850742,True
44,2018,211,9000.0,0.10557075924378734,True
45,2018,162,7100.0,0.13332698828761852,True
46,2018,169,7600.0,0.13638936709831684,True
47,2018,198,8500.0,0.11527902012953985,True
48,2018,197,8700.0,0.13764460903729864,True
49,2018,151,7300.0,0.14927846319929552,True
50,2018,164,8000.0,0.14650875465698954,True
51,2018,148,6700.0,0.14859587242641478,True
52,2018,169,7600.0,0.118787857180315,True
53,2018,166,7000.0,0.1480493725628992,True
54,2018,138,6800.0,0.15009994798796322,True
55,2018,140,6200.0,0.18939936067625118,True
56,2018,144,6700.0,0.210717370605537,True
57,2018,148,6600.0,0.13589844385848418,True
