Body_Region,Age_Band,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
Elbow/forearm,5-9,6932,16400.0,2766.366619046678,0.16866636480892538,16400.0,True,passes conservative screen,8.6,0.6320785218221903,0.07335980557734441,10
Elbow/forearm,10-14,16243,41200.0,5749.893573849635,0.1397069385432875,41200.0,True,passes conservative screen,7.2,0.33917271514802927,0.04702181413622968,10
Elbow/forearm,15-17,5902,18200.0,2245.63361774892,0.1235315522902017,18200.0,True,passes conservative screen,4.5,0.2711863117387767,0.05972334312588488,10
Elbow/forearm,18-24,2429,10300.0,1269.0150035811348,0.12268669062593082,10300.0,True,passes conservative screen,3.2,0.2686763439755639,0.08352662882133313,10
Elbow/forearm,25-34,1870,7800.0,996.4817877146337,0.12798679274877126,7800.0,True,passes conservative screen,3.1,0.2694806445453665,0.0866816855748255,10
Elbow/forearm,35-44,1269,5800.0,745.8214952213283,0.12807137493659865,5800.0,True,passes conservative screen,3.5,0.3598340912112125,0.10404731920899449,10
Elbow/forearm,45-54,875,3900.0,611.3350030831612,0.15500889566064757,3900.0,True,passes conservative screen,3.3,0.4239891823015241,0.12970395246270097,10
Elbow/forearm,55-64,796,3800.0,784.6239628954393,0.20457450843289612,3800.0,True,passes conservative screen,3.7,0.5410919421253831,0.14562257260199807,10
Elbow/forearm,65-74,702,3800.0,988.5726542988674,0.2609001616772949,3800.0,True,passes conservative screen,4.0,0.5359478749849527,0.13332845821102116,10
Elbow/forearm,75+,437,2300.0,647.9457084026127,0.2808871695893443,2300.0,True,passes conservative screen,3.4,0.6761333334216818,0.199272984639458,10
Wrist/hand,0-4,1508,4000.0,672.0056230704756,0.16761812137133983,4000.0,True,passes conservative screen,8.5,1.4359428957653266,0.16796631940205975,10
Wrist/hand,5-9,10850,31400.0,4735.068850776695,0.15070831073311888,31400.0,True,passes conservative screen,16.5,0.9529944434578828,0.057739053611431335,10
Wrist/hand,10-14,42569,130800.0,15656.933838369334,0.11973104883058314,130800.0,True,passes conservative screen,22.9,0.6915673163178611,0.030175524918735736,10
Wrist/hand,15-17,18911,63000.0,6870.989605311419,0.1091199120475379,63000.0,True,passes conservative screen,15.7,0.5975816139182952,0.037994373759873856,10
Wrist/hand,18-24,10118,42500.0,4443.125390004321,0.10460474172720723,42500.0,True,passes conservative screen,13.2,0.558487335752781,0.04228058227801526,10
Wrist/hand,25-34,7238,30800.0,2635.3942059724386,0.08568824454537008,30800.0,True,passes conservative screen,12.3,0.5991011463476168,0.04878426762479632,10
Wrist/hand,35-44,4333,20000.0,1938.519242789518,0.09703923234790479,20000.0,True,passes conservative screen,11.9,0.7003312169382688,0.05903263017393209,10
Wrist/hand,45-54,2946,14100.0,1640.7214532473433,0.11630740251538248,14100.0,True,passes conservative screen,11.7,0.8490999918434569,0.07261935910209569,10
Wrist/hand,55-64,2533,12900.0,1761.306716896614,0.13602900217910585,12900.0,True,passes conservative screen,12.5,1.020334486159359,0.0813404874248065,10
