Age_Display,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
14,47910,144800.0,16683.238030880788,0.11524836526984293,144800.0,True,passes conservative screen,6.3,0.3073461494741405,0.04864002849136202,10
15,45981,144500.0,16981.062251604482,0.11751714444701591,144500.0,True,passes conservative screen,6.3,0.301798630465922,0.04784816169178115,10
16,41161,133200.0,14897.577097725201,0.11184965688593605,133200.0,True,passes conservative screen,5.8,0.23868162323233566,0.041053445653245584,10
17,34903,118600.0,12408.798954121343,0.1045903870151573,118600.0,True,passes conservative screen,5.2,0.2062077462246582,0.03981792404598147,10
18,18675,73400.0,6904.7277394199655,0.09413156647848143,73400.0,True,passes conservative screen,3.2,0.16470472358298802,0.05144064416650603,10
19,12652,52900.0,6141.102122174209,0.11614141167661661,52900.0,True,passes conservative screen,2.3,0.2173839536200503,0.0941845963002619,10
20,11368,48100.0,5932.977558124262,0.12325626252593673,48100.0,True,passes conservative screen,2.1,0.21179039754775988,0.10079852359256185,10
21,9952,42900.0,5149.5247527858,0.12008367825119858,42900.0,True,passes conservative screen,1.9,0.18829321054698597,0.10059192267356647,10
22,8665,36600.0,3864.156919653809,0.10563926911650545,36600.0,True,passes conservative screen,1.6,0.14094328101387563,0.08827274400806188,10
23,7876,32700.0,3274.3682237459566,0.10005462339812549,32700.0,True,passes conservative screen,1.4,0.1273258821598427,0.08913288318103613,10
24,7495,30800.0,2921.6698302559535,0.09497684363650011,30800.0,True,passes conservative screen,1.3,0.11242796636287126,0.08372835680683038,10
25,7072,29400.0,2945.4854848229356,0.10008497716250166,29400.0,True,passes conservative screen,1.3,0.10521901740554662,0.08190640523991781,10
26,6616,27300.0,2626.466510610519,0.09605497226598549,27300.0,True,passes conservative screen,1.2,0.09961142400691904,0.0834581490175593,10
27,6550,26900.0,2590.748778454093,0.09642994194475527,26900.0,True,passes conservative screen,1.2,0.09809827037163647,0.08364877202431614,10
28,6289,26200.0,2659.6801687349043,0.10133461671360594,26200.0,True,passes conservative screen,1.1,0.09889177507568661,0.08631776821541555,10
29,5869,24300.0,2511.4923058531103,0.10340132330982098,24300.0,True,passes conservative screen,1.1,0.08923552940250813,0.08416735234238477,10
30,5653,23800.0,2503.38927140181,0.10518644937736941,23800.0,True,passes conservative screen,1.0,0.08849638151717565,0.08518606134779017,10
31,5453,23100.0,2343.24087591219,0.10143802747953985,23100.0,True,passes conservative screen,1.0,0.08828302073313668,0.08755332867217364,10
32,5372,23000.0,2372.390503925743,0.10327645004384944,23000.0,True,passes conservative screen,1.0,0.08833159581870653,0.08809328748665085,10
33,4979,21400.0,2145.0172432245113,0.10037189924014868,21400.0,True,passes conservative screen,0.9,0.08186037650784445,0.0877539569449476,10
34,4763,20700.0,2108.876381264365,0.10180257971738207,20700.0,True,passes conservative screen,0.9,0.0752096464971628,0.0831750028268907,10
35,4610,20200.0,2091.824451284477,0.1034600737651454,20200.0,True,passes conservative screen,0.9,0.078239318848819,0.08865111981519966,10
36,4421,19400.0,1992.112303193051,0.1028827138610659,19400.0,True,passes conservative screen,0.8,0.07164777688080491,0.08477014575500044,10
37,4037,17800.0,1878.3128196753034,0.10571779559356609,17800.0,True,passes conservative screen,0.8,0.06795325111684368,0.08761975455440074,10
38,3993,17800.0,1834.6882283424034,0.10297471671115042,17800.0,True,passes conservative screen,0.8,0.06556656261393971,0.08430675313207463,10
39,3785,16900.0,1894.3828880164845,0.11196639603814985,16900.0,True,passes conservative screen,0.7,0.0657396009937339,0.08901406155826928,10
40,3495,15600.0,1705.4618324476364,0.10900565125986365,15600.0,True,passes conservative screen,0.7,0.06249445005320168,0.09150821345552713,10
