product_code,official_label,suggested_tier,classification_type,activity_family,include_core,include_extended,total_count_2010_2025,count_2024,years_observed,rationale,review_status
3295,"WATER SLIDES, PUBLIC (STATIONARY AMUSEMENT RIDES)",4_ambiguous,ambiguous,Playground equipment,FALSE,TRUE,2413,157,16,"Extended only: childhood recreation, broadens scope beyond sport",CONFIRMED
1258,"MOUNTAIN CLIMBING (ACTIVITY, APPAREL OR EQUIPMENT)",4_ambiguous,ambiguous,Climbing,FALSE,TRUE,2214,166,16,active recreation; participation intent ambiguous,CONFIRMED
5037,HAMMOCKS,4_ambiguous,ambiguous,Other sport/recreation,FALSE,FALSE,2068,165,16,Excluded: furniture; no activity context,CONFIRMED
3200,"WATER TUBING (ACTIVITY, APPAREL OR EQUIPMENT)",4_ambiguous,ambiguous,Water sports,FALSE,TRUE,2057,113,16,"Extended only: active recreation, participation intent ambiguous",CONFIRMED
1240,AQUARIUMS OR ACCESSORIES,4_ambiguous,ambiguous,Other sport/recreation,FALSE,FALSE,2039,81,16,Excluded: household object,CONFIRMED
5023,"SCOOTERS, UNPOWERED",4_ambiguous,ambiguous,Scooters,FALSE,TRUE,1874,311,6,active recreation; participation intent ambiguous,CONFIRMED
5005,"RIDING TOYS, NOT SPECIFIED",4_ambiguous,ambiguous,Riding toys,FALSE,TRUE,1870,112,16,"Extended only: active recreation, participation intent ambiguous",CONFIRMED
5029,"CAMPING EQUIPMENT (EXCL. TRAILERS, LIGHTING EQUIPMENT,",4_ambiguous,ambiguous,Other sport/recreation,FALSE,FALSE,1864,128,16,"Excluded: camping equipment, not an activity",CONFIRMED
5010,CRAYONS OR CHALK,4_ambiguous,ambiguous,Other sport/recreation,FALSE,FALSE,1851,99,16,Excluded: art materials,CONFIRMED
1243,SEE-SAWS OR TEETER BOARDS,4_ambiguous,ambiguous,Playground equipment,FALSE,TRUE,1836,104,16,"Extended only: active recreation, participation intent ambiguous",CONFIRMED
5046,"POWER-ASSISTED CYCLES, NOT ELSEWHERE CLASSIFIED",4_ambiguous,ambiguous,Other sport/recreation,FALSE,FALSE,1807,1042,2,"Excluded: power-assisted cycle; motorised, and distinct from pedal cycling",CONFIRMED
1295,"FIELD HOCKEY (ACTIVITY, APPAREL OR EQUIPMENT)",1_sport,sport,Hockey,TRUE,TRUE,1802,98,16,deliberate sport or exercise participation,CONFIRMED
5044,UTILITY VEHICLES,4_ambiguous,ambiguous,Other sport/recreation,FALSE,FALSE,1746,263,16,"Excluded: utility vehicle, not recreational",CONFIRMED
3250,PORTABLE FOOD OR BEVERAGE COOLERS,4_ambiguous,ambiguous,Other sport/recreation,FALSE,FALSE,1665,103,16,Excluded: container,CONFIRMED
1290,"SNOWMOBILES (ACTIVITY, APPAREL OR EQUIPMENT)",4_ambiguous,ambiguous,Snow sports,FALSE,FALSE,1617,70,16,"excluded: motorised recreation, not sport or exercise participation",CONFIRMED
1264,"WATER SKIING (ACTIVITY, APPAREL OR EQUIPMENT)",4_ambiguous,ambiguous,Snow sports,TRUE,TRUE,1559,58,16,deliberate sport or exercise participation,CONFIRMED
5020,"PRETEND ELECTRONICS, TOOLS, HOUSEWARES & APPLIANCES",4_ambiguous,ambiguous,Other sport/recreation,FALSE,FALSE,1551,121,16,Excluded: pretend-play toy,CONFIRMED
1234,TREEHOUSES OR PLAYHOUSES,4_ambiguous,ambiguous,Playground equipment,FALSE,TRUE,1541,61,16,"Extended only: active recreation, participation intent ambiguous",CONFIRMED
3256,"SQUASH, RACQUET BALL OR PADDLE BALL",1_sport,sport,Racquet sports,TRUE,TRUE,1417,66,16,deliberate sport or exercise participation,CONFIRMED
3262,SWIMMING POOL EQUIPMENT,4_ambiguous,ambiguous,Swimming/diving,TRUE,TRUE,1318,82,16,deliberate sport or exercise participation,CONFIRMED
1235,"ARCHERY (ACTIVITY, APPAREL OR EQUIPMENT)",1_sport,sport,Other sport/recreation,TRUE,TRUE,1279,72,16,deliberate sport or exercise participation,CONFIRMED
3293,"WATER SLIDES, NOT ELSEWHERE CLASSIFIED",4_ambiguous,ambiguous,Playground equipment,FALSE,TRUE,1257,123,16,"Extended only: childhood recreation, broadens scope beyond sport",CONFIRMED
3248,GAS OR LP GRILLS OR STOVES (FOR OUTDOOR USE),4_ambiguous,ambiguous,Other sport/recreation,FALSE,FALSE,1195,61,16,"excluded: product is an object, not an activity context",CONFIRMED
5035,"MINIBIKES, POWERED",4_ambiguous,ambiguous,Other sport/recreation,FALSE,FALSE,1149,114,16,"excluded: motorised recreation, not sport or exercise participation",CONFIRMED
1260,"BILLIARDS OR POOL (ACTIVITY, APPAREL OR EQUIPMENT)",4_ambiguous,ambiguous,Swimming/diving,TRUE,TRUE,1126,48,16,deliberate sport or exercise participation,CONFIRMED
1282,"HANDBALL (ACTIVITY, APPAREL OR EQUIPMENT)",1_sport,sport,Other sport/recreation,TRUE,TRUE,869,44,16,deliberate sport or exercise participation,CONFIRMED
3222,"BADMINTON (ACTIVITY, APPAREL OR EQUIPMENT)",1_sport,sport,Racquet sports,TRUE,TRUE,840,71,16,deliberate sport or exercise participation,CONFIRMED
5043,PORTABLE SWIMMING POOLS,4_ambiguous,ambiguous,Swimming/diving,TRUE,TRUE,781,50,16,deliberate sport or exercise participation,CONFIRMED
3233,OTHER GRILLS OR STOVES,4_ambiguous,ambiguous,Other sport/recreation,FALSE,FALSE,780,83,16,"excluded: product is an object, not an activity context",CONFIRMED
1276,"TETHERBALL (ACTIVITY, APPAREL OR EQUIPMENT)",4_ambiguous,ambiguous,Other ball sports,TRUE,TRUE,754,26,16,Core: sporting or skating activity (informal play included),CONFIRMED
1269,"TABLE TENNIS (ACTIVITY, APPAREL OR EQUIPMENT)",1_sport,sport,Racquet sports,TRUE,TRUE,747,63,16,deliberate sport or exercise participation,CONFIRMED
3245,"STREET HOCKEY (ACTIVITY, APPAREL OR EQUIPMENT)",1_sport,sport,Hockey,TRUE,TRUE,741,32,16,deliberate sport or exercise participation,CONFIRMED
3218,CHARCOAL OR WOOD-BURNING GRILLS,4_ambiguous,ambiguous,Other sport/recreation,FALSE,FALSE,643,28,16,"excluded: product is an object, not an activity context",CONFIRMED
5018,DOLL HOUSES AND OTHER PLAY SCENES,4_ambiguous,ambiguous,Other sport/recreation,FALSE,FALSE,582,40,16,Excluded: pretend-play toy,CONFIRMED
1299,"SNOW TUBING (ACTIVITY, APPAREL OR EQUIPMENT)",4_ambiguous,ambiguous,Snow sports,FALSE,TRUE,541,20,16,active recreation; participation intent ambiguous,CONFIRMED
5006,OTHER TOY GUNS,4_ambiguous,ambiguous,Other sport/recreation,FALSE,FALSE,511,29,16,"excluded: product is an object, not an activity context",CONFIRMED
1275,"SCUBA DIVING (ACTIVITY, APPAREL OR EQUIPMENT)",3_active_recreation,recreation,Swimming/diving,TRUE,TRUE,504,28,16,deliberate sport or exercise participation,CONFIRMED
3221,ABOVE-GROUND SWIMMING POOLS (EXCL PORTABLE POOLS),4_ambiguous,ambiguous,Swimming/diving,TRUE,TRUE,497,36,16,deliberate sport or exercise participation,CONFIRMED
1277,SWIMMING POOL SLIDES,4_ambiguous,ambiguous,Swimming/diving,TRUE,TRUE,485,29,16,deliberate sport or exercise participation,CONFIRMED
3279,FLOTATION TOYS (EXCL OFFICIAL LIFE-SAVING DEVICES),4_ambiguous,ambiguous,Water sports,FALSE,TRUE,475,36,16,"Extended only: active recreation, participation intent ambiguous",CONFIRMED
3285,ALL TERRAIN VEHICLES (THREE WHEELS/OFF-ROAD ONLY),4_ambiguous,ambiguous,Other sport/recreation,FALSE,FALSE,463,25,16,"excluded: motorised recreation, not sport or exercise participation",CONFIRMED
3276,"WATER POLO (ACTIVITY, APPAREL OR EQUIPMENT)",1_sport,sport,Water polo,TRUE,TRUE,376,31,16,Core: sporting or skating activity (informal play included),CONFIRMED
3288,DUNE BUGGIES/BEACH BUGGIES,4_ambiguous,ambiguous,Other sport/recreation,FALSE,FALSE,314,5,16,Excluded: motorised off-road vehicle,CONFIRMED
5032,"ROLLER HOCKEY (ACTIVITY, APPAREL OR EQUIPMENT)",1_sport,sport,Hockey,TRUE,TRUE,289,12,16,deliberate sport or exercise participation,CONFIRMED
1257,"HORSESHOES (ACTIVITY, APPAREL OR EQUIPMENT)",4_ambiguous,ambiguous,Horseshoes,TRUE,TRUE,281,6,16,Core: sporting or skating activity (informal play included),CONFIRMED
3202,PEDAL-POWERED ADULT VEHICLES (THREE OR MORE WHEELS),4_ambiguous,ambiguous,Cycling,TRUE,TRUE,271,15,16,Core: sporting or skating activity (informal play included),CONFIRMED
3260,"FENCING (ACTIVITY, APPAREL OR EQUIPMENT)",1_sport,sport,Other sport/recreation,TRUE,TRUE,188,11,16,deliberate sport or exercise participation,CONFIRMED
3291,"DARTS, NOT OTHERWISE SPECIFIED (N.O.S.)",4_ambiguous,ambiguous,Other sport/recreation,FALSE,TRUE,155,14,16,active recreation; participation intent ambiguous,CONFIRMED
3252,SLEEPING BAGS,4_ambiguous,ambiguous,Other sport/recreation,FALSE,FALSE,153,8,16,Excluded: camping equipment,CONFIRMED
1283,"UNICYCLES, UNPOWERED OR UNSPECIFIED",4_ambiguous,ambiguous,Cycling,TRUE,TRUE,151,11,16,Core: sporting or skating activity (informal play included),CONFIRMED
1271,BATONS,4_ambiguous,ambiguous,Gymnastics/cheerleading,TRUE,TRUE,147,5,16,Core: sporting or skating activity (informal play included),CONFIRMED
3289,"DARTS, FOR INDOOR USE (ACTIVITY OR EQUIPMENT)",4_ambiguous,ambiguous,Other sport/recreation,FALSE,TRUE,133,14,16,active recreation; participation intent ambiguous,CONFIRMED
5001,OTHER TOY WEAPONS (PROJECTILE),4_ambiguous,ambiguous,Other sport/recreation,FALSE,FALSE,123,6,16,Excluded: toy weapon,CONFIRMED
3203,"SKEET SHOOTING (ACTIVITY, APPAREL OR EQUIPMENT)",4_ambiguous,ambiguous,Skeet shooting,TRUE,TRUE,121,8,16,Core: sporting or skating activity (informal play included),CONFIRMED
3261,"SHUFFLEBOARD (ACTIVITY, APPAREL OR EQUIPMENT)",4_ambiguous,ambiguous,Shuffleboard,TRUE,TRUE,113,7,16,Core: sporting or skating activity (informal play included),CONFIRMED
3296,ALL TERR. VEH. (MORE THAN 4 WHEELS; EXCLUSIVELY OFF-RD.,4_ambiguous,ambiguous,Other sport/recreation,FALSE,FALSE,100,6,16,"excluded: motorised recreation, not sport or exercise participation",CONFIRMED
1208,"CROQUET (ACTIVITY, APPAREL OR EQUIPMENT)",4_ambiguous,ambiguous,Croquet,TRUE,TRUE,82,4,16,Core: sporting or skating activity (informal play included),CONFIRMED
3229,ELECTRIC GRILLS,4_ambiguous,ambiguous,Other sport/recreation,FALSE,FALSE,64,3,16,"excluded: product is an object, not an activity context",CONFIRMED
1273,TOBOGGANS,4_ambiguous,ambiguous,Snow sports,FALSE,TRUE,60,4,13,active recreation; participation intent ambiguous,CONFIRMED
5007,"TOY WEAPONS, NOT SPECIFIED",4_ambiguous,ambiguous,Other sport/recreation,FALSE,FALSE,28,6,9,Excluded: toy weapon,CONFIRMED
3282,"CURLING (ACTIVITY, APPAREL OR EQUIPMENT)",4_ambiguous,ambiguous,Curling,TRUE,TRUE,23,3,14,Core: sporting or skating activity (informal play included),CONFIRMED
5015,"TOY CAPS, CAP TOYS OR CAP GUNS",4_ambiguous,ambiguous,Other sport/recreation,FALSE,FALSE,23,0,10,"excluded: product is an object, not an activity context",CONFIRMED
5013,TOY MAKE-UP KITS OR COSMETICS,4_ambiguous,ambiguous,Other sport/recreation,FALSE,FALSE,21,0,10,Excluded: pretend-play toy,CONFIRMED
3290,"DARTS, LAWN (ACTIVITY OR EQUIPMENT)",4_ambiguous,ambiguous,Other sport/recreation,FALSE,TRUE,20,3,12,active recreation; participation intent ambiguous,CONFIRMED
3230,KEROSENE GRILLS OR STOVES,4_ambiguous,ambiguous,Other sport/recreation,FALSE,FALSE,17,1,11,"excluded: product is an object, not an activity context",CONFIRMED
1274,SNOW DISKS,4_ambiguous,ambiguous,Snow sports,FALSE,TRUE,12,0,9,active recreation; participation intent ambiguous,CONFIRMED
5038,PERSONAL FITNESS/ACTIVITY TRACKERS,2_exercise_fitness,exercise,Track and field,FALSE,FALSE,11,0,7,"Excluded: wearable device, not an activity",CONFIRMED
3247,"ICE OR SNOW BOATING (ACTIVITY, APPAREL OR EQUIPMENT)",4_ambiguous,ambiguous,Snow sports,FALSE,TRUE,9,0,7,active recreation; participation intent ambiguous,CONFIRMED
1202,BICYCLES OR ACCESSORIES,4_ambiguous,ambiguous,Cycling,FALSE,TRUE,0,0,0,Extended only: product code cannot distinguish transport from recreation,CONFIRMED
1204,"BASEBALL, ACTIVITY AND RELATED EQUIPMENT",1_sport,sport,Baseball/softball,TRUE,TRUE,0,0,0,deliberate sport or exercise participation,CONFIRMED
1232,ELECTRIC CHARCOAL LIGHTERS,4_ambiguous,ambiguous,Other sport/recreation,FALSE,FALSE,0,0,0,Excluded: not an activity,CONFIRMED
1246,WADING POOLS,4_ambiguous,ambiguous,Swimming/diving,FALSE,TRUE,0,0,0,"Extended only: active recreation, participation intent ambiguous",CONFIRMED
1247,FUEL CHARCOAL LIGHTERS,4_ambiguous,ambiguous,Other sport/recreation,FALSE,FALSE,0,0,0,Excluded: not an activity,CONFIRMED
1248,"DARTS (ACTIVITY, APPAREL OR EQUIPMENT)",4_ambiguous,ambiguous,Other sport/recreation,FALSE,TRUE,0,0,0,active recreation; participation intent ambiguous,CONFIRMED
1255,ALCOHOL-FUELED HEATERS,4_ambiguous,ambiguous,Other sport/recreation,FALSE,FALSE,0,0,0,Excluded: not an activity,CONFIRMED
1268,"TRACK AND FIELD (ACTIVITY, APPAREL OR EQUIPMENT)",2_exercise_fitness,exercise,Track and field,TRUE,TRUE,0,0,0,deliberate sport or exercise participation,CONFIRMED
1285,"CHARCOAL LIGHTERS, NOT SPECIFIED",4_ambiguous,ambiguous,Other sport/recreation,FALSE,FALSE,0,0,0,Excluded: not an activity,CONFIRMED
3211,GROUND WATER SLIDES,4_ambiguous,ambiguous,Playground equipment,FALSE,TRUE,0,0,0,"Extended only: childhood recreation, broadens scope beyond sport",CONFIRMED
3214,CAMPING EQUIPMENT,4_ambiguous,ambiguous,Other sport/recreation,FALSE,FALSE,0,0,0,Excluded: camping equipment,CONFIRMED
3220,"VOLLEYBALL (ACTIVITY, APPAREL OR EQUIPMENT), N.S.",1_sport,sport,Volleyball,TRUE,TRUE,0,0,0,deliberate sport or exercise participation,CONFIRMED
